,Status,Dept_Short,End_Year,Edu_Short,畢業滿_年
4212,畢業,四技財稅,106,日四技,1
4213,畢業,四技財稅,106,日四技,3
4214,畢業,四技財稅,106,日四技,5
4215,畢業,四技財稅,106,日四技,1
4216,畢業,四技財稅,106,日四技,3
4217,畢業,四技財稅,106,日四技,3
4218,畢業,四技財稅,106,日四技,5
4219,畢業,四技財稅,106,日四技,1
4220,畢業,四技財稅,106,日四技,1
4221,畢業,四技財稅,106,日四技,5
4222,畢業,四技財稅,106,日四技,1
4223,畢業,四技財稅,106,日四技,3
4224,畢業,四技財稅,106,日四技,3
4225,畢業,四技財稅,106,日四技,5
4226,畢業,四技財稅,106,日四技,1
4227,畢業,四技財稅,106,日四技,3
4228,畢業,四技財稅,106,日四技,1
4229,畢業,四技財稅,106,日四技,1
4230,畢業,四技財稅,106,日四技,3
4231,畢業,四技財稅,106,日四技,1
4232,畢業,四技財稅,106,日四技,3
4233,畢業,四技財稅,106,日四技,5
4234,畢業,四技財稅,106,日四技,1
4235,畢業,四技財稅,106,日四技,3
4236,畢業,四技財稅,106,日四技,5
4237,畢業,四技財稅,106,日四技,3
4238,畢業,四技財稅,107,日四技,3
4239,畢業,四技財稅,106,日四技,1
4240,畢業,四技財稅,106,日四技,3
4241,畢業,四技財稅,106,日四技,5
4242,畢業,四技財稅,108,日四技,3
4243,畢業,四技財稅,108,日四技,1
4244,畢業,四技財稅,106,日四技,1
4245,畢業,四技財稅,106,日四技,5
4246,畢業,四技財稅,106,日四技,3
4247,畢業,四技財稅,106,日四技,3
4248,畢業,四技財稅,106,日四技,1
4249,畢業,四技財稅,106,日四技,5
4250,畢業,四技財稅,106,日四技,1
4251,畢業,四技財稅,106,日四技,3
4252,畢業,四技財稅,106,日四技,5
4253,畢業,四技財稅,106,日四技,5
4254,畢業,四技財稅,106,日四技,1
4255,畢業,四技財稅,106,日四技,3
4256,畢業,四技財稅,106,日四技,3
4257,畢業,四技財稅,106,日四技,5
4258,畢業,四技財稅,106,日四技,1
4259,畢業,四技財稅,106,日四技,1
4260,畢業,四技財稅,106,日四技,1
4261,畢業,四技財稅,106,日四技,5
4262,畢業,四技財稅,106,日四技,3
4263,畢業,四技財稅,106,日四技,5
